 1  Nivsir         +575
 4  frederik.soete  391
 5  Raphus          370
 6  Toonijn         333
12  Serge           240
35  Pieter_56       159
37  LittleFox       178
39  Roy Scheerens   152
46  michaelmay      145
47  dpieroux        145 <--
57  rolandct        136
63  Borninabin      130
69  Akulen          126
73  Woumpousse      151
74  robby           122
88  Jeroen          110
89  jdewasseige     110
96  Leathal         109

100 chdelfosse      107


            Tot     Belgium     Language      World
17-12-10    147     44, 1652    166, 6637   4137 (0.546%)
17-11-26    146     46, 1644    170, 6581   4188 (0.556%)
17-11-26    145     47, 1644    171, 6581   4244 (0.564%)
17-11-25    144     48, 1644    176, 6581   4303 (0.571%)
17-11-25    143     49, 1644    180, 6580   4380 (0.582%)
17-11-18    142     51, 1642    185, 6579   4473 (0.595%)
17-11-15    141     51, 1642    188, 6576   4540 (0.605%)
17-11-05    140     52, 1639    192, 6570   4609 (0.617%)
17-11-05    139     53, 1639    198, 6570   4684 (0.627%)
17-11-05    138     54, 1639    203, 6570   4758 (0.637%)
17-11-04    137     54, 1639    208, 6570   4849 (0.649%)
17-10-29    136     56, 1638    212, 6570   4938 (0.663%)
17-10-29    135     56, 1638    215, 6570   5026 (0.675%)
17-10-23    134     60, 1638    219, 6564   5113 (0.688%)
17-10-23    133     61, 1638    226, 6564   5221 (0.702%)
17-10-23    132     61, 1638    231, 6564   5306 (0.714%)
17-10-22    131     61, 1637    234, 6564   5410 (0.728%)
17-10-16    130     63, 1637    236, 6556   5487 (0.740%)
17-10-16    129     65, 1637    245, 6605   5587 (0.754%)
17-10-06    128     67, 1634    244, 6549   5688 (0.770%)
17-09-24    127     69, 1627     20, 317    5806 (0.790%)
17-09-23    126     69, 1627     20, 317    5920 (0.806%)
17-09-22    125     70, 1627     20, 317    6049 (0.824%)
17-09-22    124     73, 1627     21, 317    6143 (0.837%)
17-09-22    123     73, 1627     21, 317    6232 (0.849%)
17-09-20    122     73, 1627     21, 317    6333 (0.863%)
17-09-17    121     74, 1627     21, 317    6449 (0.880%)
17-09-17    120     75, 1627     22, 317    6548 (0.894%)
17-09-17    119     75, 1627     24, 317    6655 (0.908%)
17-09-14    118     74, 1627     24, 317    6759 (0.923%)
17-08-01    117     30, 1630     11, 318    6809 (0.945%)
17-08-01    116     30, 1630     11, 318    6935 (0.962%)
17-07-11    115     30, 1623     10, 314    7017 (0.981%)
17-07-09    114     30, 1622     10, 313    7154 (1.001%)
17-05-28    113     28, 1613     89, 6499   7209 (1.023%)
17-05-27    112     28, 1613     90, 6498   7367 (1.046%)
17-05-26    111     28, 1613     92, 6496   7517 (1.068%)
17-05-25    110     28, 1612     94, 6469   7678 (1.091%)
17-05-07    109     31, 1610     91, 6469   7833 (1.121%)
17-05-01    108     32, 1610     92, 6465   7976 (1.144%)  (=> Julia)
17-02-10    107     34, 1589    106, 6384   8014 (1.185%)
17-02-04    106     36, 1587    106, 6378   8160 (1.210%)
17-02-01    105     36, 1581    107, 6374   8364 (1.242%)
17-01-22    104     36, 1579    112, ?      8562 (1.277%)
